Time,Velocity
2.79,7.14282465
2.8,7.172776222
2.81,7.202727318
2.82,7.23267889
2.83,7.262629986
2.84,7.292580605
2.85,7.3225317
2.86,7.352482319
2.87,7.382432461
2.88,7.41238308
2.89,7.442333221
2.9,7.472283363
2.91,7.502233028
2.92,7.532182693
2.93,7.562132359
2.94,7.592082024
2.95,7.622031212
2.96,7.6519804
2.97,7.681929588
2.98,7.711878777
2.99,7.741827488
3,7.771776199
3.01,7.801724434
3.02,7.831673145
3.03,7.86162138
3.04,7.891569138
3.05,7.921517372
3.06,7.95146513
3.07,7.981412888
3.08,8.011360168
3.09,8.041308403
3.1,8.071255684
3.11,8.101202965
3.12,8.131149292
3.13,8.161096573
3.14,8.191043854
3.15,8.220990181
3.16,8.250936508
3.17,8.280882835
3.18,8.310829163
3.19,8.34077549
3.2,8.370721817
3.21,8.400668144
3.22,8.430613518
3.23,8.460559845
3.24,8.490505219
3.25,8.520450592
3.26,8.550395966
3.27,8.580341339
3.28,8.610286713
3.29,8.640231133
3.3,8.670176506
3.31,8.700120926
3.32,8.730066299
3.33,8.760010719
3.34,8.789955139
3.35,8.819899559
3.36,8.849843979
3.37,8.879788399
3.38,8.909731865
3.39,8.939676285
3.4,8.969619751
3.41,8.999564171
3.42,9.029507637
3.43,9.059451103
3.44,9.089394569
3.45,9.119338036
3.46,9.149281502
3.47,9.179224968
3.48,9.20916748
3.49,9.239110947
3.5,9.269053459
3.51,9.298996925
3.52,9.328939438
3.53,9.35888195
3.54,9.388824463
3.55,9.418766975
3.56,9.448709488
3.57,9.478651047
3.58,9.508593559
3.59,9.538536072
3.6,9.568477631
3.61,9.598420143
3.62,9.628361702
3.63,9.658303261
3.64,9.68824482
3.65,9.718186378
3.66,9.748127937
3.67,9.778069496
3.68,9.808011055
3.69,9.837952614
3.7,9.867893219
3.71,9.897834778
3.72,9.927775383
3.73,9.957716942
3.74,9.987657547
3.75,10.01759911
3.76,10.04753971
3.77,10.07748032
3.78,10.10742092
3.79,10.13736153
3.8,10.16730213
3.81,10.19724274
3.82,10.22718334
3.83,10.25712395
3.84,10.2870636
3.85,10.3170042
3.86,10.34694481
3.87,10.37688446
3.88,10.40682507
3.89,10.43676472
3.9,10.46670532
3.91,10.49664497
3.92,10.52658463
3.93,10.55652523
3.94,10.58646488
3.95,10.61640453
3.96,10.64634418
3.97,10.67628384
3.98,10.70622444
3.99,10.73616409
4,10.76610374
4.01,10.79604244
4.02,10.82598209
4.03,10.85592175
4.04,10.8858614
4.05,10.91580105
4.06,10.9457407
4.07,10.9756794
4.08,11.00561905
4.09,11.0355587
4.1,11.06549835
4.11,11.09543705
4.12,11.1253767
4.13,11.1553154
4.14,11.18525505
4.15,11.21519375
4.16,11.2451334
4.17,11.2750721
4.18,11.30501175
4.19,11.33495045
4.2,11.3648901
4.21,11.3948288
4.22,11.42476845
4.23,11.45470715
4.24,11.48464584
4.25,11.51458454
4.26,11.54452419
4.27,11.57446289
4.28,11.60440159
4.29,11.63434029
4.3,11.66427994
4.31,11.69421864
4.32,11.72415733
4.33,11.75409603
4.34,11.78403473
4.35,11.81397343
4.36,11.84391212
4.37,11.87385178
4.38,11.90379047
4.39,11.93372917
4.4,11.96366787
4.41,11.99360657
4.42,12.02354527
4.43,12.05348396
4.44,12.08342361
4.45,12.11336231
4.46,12.14330101
4.47,12.17323971
4.48,12.20317841
4.49,12.23311806
4.5,12.26305676
4.51,12.29299545
4.52,12.32293415
4.53,12.3528738
4.54,12.3828125
4.55,12.4127512
4.56,12.44269085
4.57,12.47262955
4.58,12.50256824
4.59,12.5325079
4.6,12.56244659
4.61,12.59238625
4.62,12.62232494
4.63,12.6522646
4.64,12.68220329
4.65,12.71214294
4.66,12.74208164
4.67,12.77202129
4.68,12.80195999
4.69,12.83189964
4.7,12.86183929
4.71,12.89177895
4.72,12.92171764
