#Name,Car.ay,Car.tx,Car.ty,Car.v,Steer.WhlAng,Time
#Dataset,C1,C1,C1,C1,C1,C1
#Unit,m/s^2,m,m,m/s,deg,s
,-8.08E-08,2.743412495,2.423356056,3.59E-07,4.76E-14,0.81
,-3.38E-08,2.743412495,2.423356056,3.61E-07,4.76E-14,0.82
,1.32E-07,2.743412495,2.423356056,3.62E-07,4.76E-14,0.83
,-3.76E-07,2.743412495,2.423356056,3.61E-07,4.76E-14,0.84
,-6.86E-07,2.743412495,2.423356056,3.60E-07,4.76E-14,0.85
,9.59E-08,2.743412495,2.423356056,3.59E-07,4.76E-14,0.86
,-4.71E-07,2.743412495,2.423356056,3.61E-07,4.76E-14,0.87
,1.68E-08,2.743412495,2.423356056,3.61E-07,4.76E-14,0.88
,6.02E-07,2.743412495,2.423356056,3.60E-07,4.76E-14,0.89
,-1.47E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,0.9
,-2.01E-07,2.743412495,2.423356056,3.59E-07,4.76E-14,0.91
,3.90E-07,2.743412495,2.423356056,3.59E-07,4.76E-14,0.92
,6.33E-07,2.743412495,2.423356056,3.61E-07,4.76E-14,0.93
,-5.59E-07,2.743412495,2.423356056,3.60E-07,4.76E-14,0.94
,3.79E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,0.95
,2.59E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,0.96
,-2.86E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,0.97
,-5.55E-07,2.743412495,2.423356056,3.60E-07,4.76E-14,0.98
,1.92E-08,2.743412495,2.423356056,3.59E-07,4.76E-14,0.99
,3.03E-08,2.743412495,2.423356056,3.57E-07,4.76E-14,1
,-1.83E-07,2.743412495,2.423356056,3.57E-07,4.76E-14,1.01
,1.40E-07,2.743412495,2.423356056,3.57E-07,4.76E-14,1.02
,1.40E-07,2.743412495,2.423356056,3.56E-07,4.76E-14,1.03
,1.31E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,1.04
,-4.54E-08,2.743412495,2.423356056,3.58E-07,4.76E-14,1.05
,2.40E-07,2.743412495,2.423356056,3.60E-07,4.76E-14,1.06
,-6.57E-08,2.743412495,2.423356056,3.59E-07,4.76E-14,1.07
,-3.95E-09,2.743412495,2.423356056,3.57E-07,4.76E-14,1.08
,5.72E-09,2.743412495,2.423356056,3.56E-07,4.76E-14,1.09
,3.75E-09,2.743412495,2.423356056,3.57E-07,4.76E-14,1.1
,2.25E-09,2.743412495,2.423356056,3.58E-07,4.76E-14,1.11
,1.01E-06,2.743412495,2.423356056,3.57E-07,4.76E-14,1.12
,-1.35E-08,2.743412495,2.423356056,3.58E-07,4.76E-14,1.13
,-1.06E-07,2.743412495,2.423356056,3.58E-07,4.76E-14,1.14
,-2.52E-08,2.743412495,2.423356056,3.57E-07,4.76E-14,1.15
,-6.27E-07,2.743412495,2.423356056,3.56E-07,4.76E-14,1.16
,-1.77E-07,2.743412495,2.423356056,3.54E-07,4.76E-14,1.17
,-2.75E-08,2.743412495,2.423356056,3.55E-07,4.76E-14,1.18
,-1.12E-06,2.743412495,2.423356056,3.56E-07,4.76E-14,1.19
,-4.10E-08,2.743412495,2.423356056,3.56E-07,4.76E-14,1.2
,-6.11E-09,2.743412495,2.423356056,3.56E-07,4.76E-14,1.21
,-1.23E-07,2.743412495,2.423356056,3.54E-07,4.76E-14,1.22
,3.78E-07,2.743412495,2.423356056,3.53E-07,4.76E-14,1.23
