time,ecu,resp_id,did,signal,value,unit
18.758019,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
18.758019,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
18.758996,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
18.758996,MCU DID 0101,0x7EC,0101,rpm,1660,rpm
18.777718,ABS / ESP,0x7D9,,speed_kmh,15,km/h
18.790079,ABS / ESP,0x7D9,,steer_raw,32766,raw
18.795732,ABS / ESP,0x7D9,,brake_pedel,44,mm
18.88756,MCU DID 0101,0x7EC,0101,battery_current,6521.5,A
18.88756,MCU DID 0101,0x7EC,0101,battery_voltage,383.6,V
18.88756,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
18.88756,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
18.88756,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
18.88756,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
18.88756,MCU DID 0101,0x7EC,0101,rpm,1364,rpm
18.90799,ABS / ESP,0x7D9,,speed_kmh,12,km/h
18.920081,ABS / ESP,0x7D9,,steer_raw,32766,raw
18.924992,ABS / ESP,0x7D9,,brake_pedel,44,mm
19.021864,MCU DID 0101,0x7EC,0101,battery_current,6527.400000000001,A
19.021864,MCU DID 0101,0x7EC,0101,battery_voltage,383.3,V
19.021864,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.021864,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.021864,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.022802,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.022802,MCU DID 0101,0x7EC,0101,rpm,1056,rpm
19.041524,ABS / ESP,0x7D9,,speed_kmh,8,km/h
19.055903,ABS / ESP,0x7D9,,steer_raw,32766,raw
19.059652,ABS / ESP,0x7D9,,brake_pedel,43,mm
19.151959,MCU DID 0101,0x7EC,0101,battery_current,6538.6,A
19.151959,MCU DID 0101,0x7EC,0101,battery_voltage,382.70000000000005,V
19.151959,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.151959,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.151959,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.151959,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.151959,MCU DID 0101,0x7EC,0101,rpm,714,rpm
19.171587,ABS / ESP,0x7D9,,speed_kmh,5,km/h
19.185667,ABS / ESP,0x7D9,,steer_raw,32766,raw
19.189666,ABS / ESP,0x7D9,,brake_pedel,42,mm
19.282312,MCU DID 0101,0x7EC,0101,battery_current,6543.900000000001,A
19.282312,MCU DID 0101,0x7EC,0101,battery_voltage,382.40000000000003,V
19.282312,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.282312,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.282312,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
19.282312,MCU DID 0101,0x7EC,0101,Battery_Temp,4627,C
19.282312,MCU DID 0101,0x7EC,0101,rpm,442,rpm
19.302004,ABS / ESP,0x7D9,,speed_kmh,2,km/h
19.315434,ABS / ESP,0x7D9,,steer_raw,32766,raw
19.320433,ABS / ESP,0x7D9,,brake_pedel,41,mm
19.42235,MCU DID 0101,0x7EC,0101,battery_current,6548.900000000001,A
19.42235,MCU DID 0101,0x7EC,0101,battery_voltage,382.1,V
19.42235,MCU DID 0101,0x7EC,0101,max_regen_power,0.0,kW
19.42235,MCU DID 0101,0x7EC,0101,max_power,0.0,kW
19.42235,MCU DID 0101,0x7EC,0101,SoC,18560.0,%
